,Ramvida,“Močiutės” virtiniai su varškės įdaru,,500g,25.00,,4779027600277
,Uvic,“Ivan” virtinukai su vyšniomis,,500g,25.00,,4740223001717
,Uvic,“Ivan” virtiniai su bulvėmis ir grybais,,500g,25.00,,4740223001786
,Liūtukas ir Ko,Virtiniai su bulvių įdaru,Frozen dumplings with potatoe stuffing,500g,18.00,,4770090192072
,Liūtukas ir Ko,Virtiniai SIM SIM su varškės įdaru,Frozen dumplings SIM SIM with curd filling,400g,19.00,,4770090194359
,Liūtukas ir Ko,Virtiniai su grybų įdaru,Frozen dumplings with mushroom filling,400g,20.00,,4770090192423
,,DIDŽKUKULIAI/ CEPELINAI/ BULVIŲ KUKULIAI/ ŽEMAIČIŲ BLYNAI,,kg,,,EAN code
,Judex,Tarkuotų bulvių didžkukuliai su mėsos įdaru (su kiauliena),,500g,30.00,,4770274191037
,Judex,"Tarkuotų bulvių cepelinai ""Mamos""",,800g,55.00,,4770274483989
,Judex,Tarkuotų bulvių cepelinai su mėsos įdaru,,200g,20.00,,4770274485228
,Judex,Virtų bulvių cepelinai su mėsa,,500g,30.00,,4770274191051
,Judex,Virtų bulvių cepelinai su varške,,500g,25.00,,4770274192041
,Liūtukas ir Ko,Cepelinai su mėsos įdaru,Frozen potatoe dumplings with meat filling,500g,22.00,,4770090192119
,Liūtukas ir Ko,"Cepelinai ""Kaimiški"" su mėsa","Frozen country potato dumplings ""Cepelinai"" with meat",1kg,40.00,,4770090193482
,Liūtukas ir Ko,Virtų bulvių cepelinai su varškės įdaru,"Frozen boiled-potato dumplings ""Cepelinai"" with curd stuffing",500g,22.00,,4770090192126
,Liūtukas ir Ko,Užšaldyti bulvių kukuliai su mėsos įdaru,Frozen potato balls with meat filling,500g,20.00,,4770090192201
,Judex,"""Žemaičių"" blynai su mėsos įdaru",,500g,30.00,,4770274191020
,Judex,"""Žemaičių"" blynai su grybais",,500g,30.00,,4770274193055
,Liūtukas ir Ko,Žemaičių blynai su mėsos įdaru,Frozen potato pancakes with meat filling,700g,29.00,,4770090192928
,Liūtukas ir Ko,Bulviniai blynai su rūkyta šonine,Frozen potato pancakes with bacon,400g,20.00,,4770090195752
,Liūtukas ir Ko,Šaldytos bulvinės lazdelės su sūrio įdaru,Frozen potatoe sticks with cheese stuffing,400g,20.00,,4770090192638
,,ČEBURĖKAI/ BALANDĖLIAI/ KIBINAI/ APKEPĖLĖS,,kg,,,EAN code
,Judex,Čeburėkai,,400g,25.00,,4770274191044
,Judex,Čeburėkai (dideli) su mėsos įdaru,,600g,40.00,,4770274482968
,Judex,Keptas čeburėkas su mėsos įdaru,,150g,10.00,,4770274483422
,Judex,“Mini” čeburėkai su mėsa,,1 kg,35.00,,nėra barkodo
,Kogus,Mini čeburekai su mėsos įdaru,,780g,29.00,,4770553191055
,Kolumbo,Kepti mini čeburekai su vištienos įdaru,,500g,26.00,,4770119210824
,Kolumbo,Kepti mini čeburekai su mėsos įdaru,,500g,30.00,,4770119210558
,Mantinga,dvaro rukytas suris,2328644402553,130g,10.00,,4771033486067
,Liūtukas ir Ko,Šaldytas keptas čeburekas su mėsa,,130g,10.00,,4770090195943
,Judex,Balandėliai su mėsa,,450g,25.00,,4770274191068
,Tavijuta,Balandėliai su mėsa,,400g,22.00,,4770452194041
,Liūtukas ir Ko,Balandėliai su mėsos įdaru,,450g,25.00,,4770274191068
,Judex, ke,,440g,30.00,,
,Mantinga,Itališka apkepėlė su vištiena,,125g,12.00,,4771033486128
,,LIETINIAI/ BLYNAI,,kg,,,EAN code
,Judex,Lietiniai su mėsa,,400g,25.00,,4770274191150
,Judex,Lietiniai su ryžių ir vištienos įdaru,,400g,24.00,,4770274483941
,Judex,Lietiniai su bulvėmis ir grybais,,400g,24.00,,4770274483934
,Judex,Lietiniai su karamelizuoto pieno (RUDUDU) įdaru,,400g,24.00,,4770274484436
,Judex,,,400g,24.00,,4770274483828
,Judex,Lietiniai su varške,,400g,24.00,,4770274192119
,Judex,Lietiniai su varške ir razinomis,,400g,24.00,,4770274483798
,Judex,Lietiniai su oboulių įdaru,,400g,24.00,,4770274484429
,Judex,Lietiniai su vyšnių įdaru,,400g,24.00,,
,Judex,Lietiniai su varškės ir abrikosų džemo įdaru,,400g,24.00,,4770274484412
,Ariols,Lietiniai su rūkyta šonine ir sūriu “Zemnieku”,,500g,25.00,,4750499000598
,,ŠALDYTI MĖSOS PRODUKTAI,,kg,,,EAN code
,Biovela,Marinuotas kiaulienos šašlykas,,900g,59.00,,
,Biovela,"Marinuota Kiaulenos šoninė su įvairiaspalviais pipirais, sušaldyta",,500g,65.00,,2408147405043
,Biovela,"Marinuotas Vakaro šašlykas iš kaulienos, sušaldytas",,700g,65.00,,4770081167461
,Biovela,"Marinuotas Kaukazo šašlykas pagamintas iš kiaulienos sprandinės, sušaldytas",,700g,70.00,,4770081166709
,Biovela,Matinuota kiaulienos sprandine kepama su pakuote,,~700g,105.00,,
,Biovela,Marnuota kiaulienos mente kepama su pakuote,,~800g,85.00,,
,Biovela,Marinuota kiaulienos sonine kepama su pakuote,,~600g,85.00,,
,Biovela,Marinuota kiaulienos nugarine kepama su pakuote,,~800g,110.00,,
,Biovela,Marinuota karka kepama su pakuote,,~1100g,78.00,,
,Biovela,Keptas Lietuviškas karbonadas,,310g,38.00,,4770118403074
,Biovela,Keptas Kijevo kotletas pagamintas iš vištienos file,,140g,10.00,,4770118403050
,Biovela,Kepti kijevo kotletai,,560g,99.00,,
,Biovela,Kepti Mamos kotletai pagaminti iš kiaulienos,,360g,22.00,,4770118403036
,Biovela,Kepti Mamos kukuliai,,300g,22.00,,
,Biovela,Keptas Kiaulienos šnicelis,,280g,25.00,,4770118403081
,Biovela,Hamburgeriai,,500g,68.00,,
,Romega,"Viščiukų broilerių sparneliai, A kl",,?,33.00,,2555131006905
,Romega,"Viščiukų broilerių širdelės, A kl",,?,35.00,,2579046004306
,Alevista,"Broilerių sparneliai, šaldyti",,1 kg,70.00,,2596610013908
,Yano,Šaldyti kepti vištų sparneliai su prieskoniais “tex mex”,,1 kg,70.00,,5908311708361
,Kaišiadorių paukštynas,Aštrūs vištienos sparneliai,Chicken hot wings,500g,26.00,,4770276160611
,Utenos mėsa,"Galvijų kepenys, sušaldytos",,500g,39.00,,2596572006024
,Krekenavos,"Kiaulių liežuviai su poliežuvine mėsa, sušaldyti",,500g,92.00,,2460930203878
,Vesta-Inter,"Naminės dešrelės, šviežios, užšaldytos",,500g,20.00,,4770536191157
,Sanitex,Šaldytas triušis su galva,,2.062 kg,110/kg,,2595048020625
,,ŠALDYTI ŽUVIES PRODUKTAI,,kg,,,EAN code
,Viči,"Žuvų kepsneliai, sušaldyti",,250g,20.00,,4770190035132
,Viči,"Krabų žnyplės džiūvėsėliuose (iš surimio), greitai užšaldytos",,250g,22.00,,4770190036900
,Viči,"Krevetės iš surimio džiūvėsėliuose, sušaldytos",,300g,32.00,,4770190352338
,Wilbo,"Žuvų pašteliai, sušaldyti",,400g,18.00,,5900653640125
,Sanitex,FJORD'S Argentininės jūrinės lydekos,,1 kg,55.00,,4771459047897
,Sanitex,FJORD'S Ilgųjų jūrinių lydekų filė,,700g,49.00,,4771459048191
,Merkio,"Afrikinis šamas, skrostas, šaldytas",,~ 1 kg,110.00,,2300914010989
,Merkio,"Afrikinio šamo filė, šaldytas",,~100-200g,200.00,,2300915001467
,Ekonom,Šaldytos krabų skonio surimio lazdelės,,100g,9.00,,4810168002749
,Santa Bremor,Šaldytos krabų skonio surimio lazdelės,,200g,18.00,,4810168001933
,Viči,Classic. Krabų skonio lazdelės,"Classic. Crab taste sticks (from surimi, fast frozen)",100g,9.00,,4770190036085
,Viči,Classic. Krabų skonio lazdelės,"Classic. Crab taste sticks (from surimi, fast frozen)",240g,20.00,,4770190036108
,,UŽŠALDYTAS FARŠAS,,kg,,,EAN code
,Vesta-Inter,"Kalakutienos faršas, giliai užšaldytas",,500g,19.00,,4770536191188
,Vesta-Inter,"Vištienos file maltas faršas, giliai užšaldytas",,450g,33.00,,4770536193069
,Alekniškis,Užšaldytas jautienos faršas,,?,35.00,,4770919162019
,Alekniškis,Sušaldytas NAMINIS kiaulienos faršas,,?,19.00,,4770919162026
,Ragnos,"Kiaulienos-jautienos faršas, sušaldytas",,500g,19.00,,4771459045169
,Sanitex,Sušaldytas lašišų faršas,,1 kg,45.00,,5906259701178
,SALDUMYNAI,,,,,,
,,BATONĖLIAI/ KAZINAKAI/ CHALVA,,kg,,,EAN code
,Mondelez Baltic,Šokoladinis batonėlis MANIJA su lazdyno riešutais,,49g,6.00,,7622210334312
,Mondelez Baltic,Šokoladinis batonėlis MANIJA su žemės riešutais,,49g,6.00,,7622210334374
,Mondelez Baltic,Šokoladinis batonėlis MANIJA su kokoso riešutais,,49g,6.00,,
,Mondelez Baltic,Šokoladinis batonėlis MANIJA su migdolais,,49g,6.00,,7622210334343
,Mondelez Baltic,Šokokoladinis batonėlis MANIJA su lazdyno riešutais,,57g,8.00,,
,Mondelez Baltic,Šokokoladinis batonėlis MANIJA su migdolais,,57g,8.00,,
,Mondelez Baltic,Šokoladinis batonėlis MANIJA su žemės riešutais,,57g,8.00,,
,Pergalė,Šokoladinis batomėlis”Nomeda” Originalinal,,44g,5.00,,4770179111888
,Rūta,Šokoladas “Šokolado muziejus”,,18g,4.00,,4770123195681
,Karūna,Batonėlis “Siesta” su kokosų įdaru,,40g,5.00,,4770100907948
,Karūna,"Batonėlis ""Siesta"" su kakavos įdaru",,35g,5.00,,7622210262035
,Vilniaus Pergalė,Saldainis “Pupa” su kava,,18g,4.00,,4770179104712
,Vilniaus Pergalė,Saldainis “Pergalė” souffle vanilinis,,28g,5.00,,4770179120309
,Laima,Šokoladas “Laima” pieninis su juodojo Riga balzamo kreminiu įdaru,,44g,6.00,,4750001819496
,Laima,Šokoladas “Laima” tamsusis su juodojo Riga balzamo kreminiu įdaru,,44g,6.00,,4750001819502
,Laima,Marcipaninis saldainis su spanguolėmis,,45g,6.00,,4750011849087
,Laima,Šokoladas “Laima” pieninis,,20g,3.00,,4750001818789
,Laima,Šokoladinis saldainis “Voverytė”,,40g,6.00,,4750001005202
,Laima,Šokoladinis saldainis “Serenade”,,40g,6.00,,4750001330977
,Arsenal Baltija,Chalva žemės riešutų skonio,,150g,15.00,,4770266127846
,Arsenal Baltija,Chalva saulėgrąžų,,150g,15.00,,4770266127839
,Granex Distribution,Chalva žemės riešutų,,250g,25.00,,4770266127259
,Granex Distribution,Žemės riešutų chalva,,150g,15.00,,4770266129567
,Granex Distribution,Saulėgrąžų chalva,,150g,15.00,,4770266129550
,JOMAS,Saulėgrąžų chalva,,200g,20.00,,4779037850327
,Arsenal Baltija,Kozinakas su saulėgrąžų sėklomis,,80g,12.00,,4770266128003
,Arsenal Baltija,Kozinakas su žemės riešutais,,80g,12.00,,4770266127990
,Vilniaus Pergalė,Maisto papildas “Hematogenas” Vita+,,50g,11.00,,4770407302019
,Mogemas,Maisto papildas “Hema2gen”,,45g,11.00,,4770407302064
,,SALDAINIAI/ ŠOKOLADAS,,kg,,,EAN code
,Vilniaus Pergalė,Šokoladinis saldainis KREGŽDUTĖ (galima užsisakyti nuo 100gr),,1kg,110.00,,4770179102510
,Vilniaus Pergalė,Saldainiai ANANASINIAI (galima užsisakyti nuo 100gr),,1kg,110.00,,4770179102718
,Vilniaus Pergalė,Saldainiai NOMEDA (galima užsisakyti nuo 100gr),,1kg,110.00,,4770179104033
,Naujoji Rūta,Vafliniai saldainiai EASTER (galima užsisakyti nuo 100gr),,1kg,110.00,,4770067172878
,Rūta,Saldainiai CAPPUCCINO,,1 kg,110.00,,4770123194905
,,Saldainiai BIBI,,1 kg,110.00,,
,Vilniaus Pergalė,Šokoladinis saldainis RAUDONOJI AGUONA (galima užsisakyti nuo 100gr),,1kg,110.00,,4770179123317
,Naujoji Rūta,Saldainiai MEŠKA ŠIAURĖJE (galima užsisakyti nuo 100gr),,1kg,110.00,,4770067177590
,Naujoji Rūta,Saldainiai GRILIAŽAS (galima užsisakyti nuo 100gr),,1kg,110.00,,4770067172618
,,Saldainiai AUKSINIS RAKTELIS (galima užsisakyti nuo 100gr),,1kg,110.00,,
,USENAS,Saldainis “Paukščių grietinėlė” vanilės skonio,,1kg,110.00,,
,USENAS,Saldainis “Paukščių grietinėlė” šokolado skonio,,1kg,110.00,,
,USENAS,Saldainis “Paukščių grietinėlė” citrinų skonio,,1kg,110.00,,
,,Įvairūs sveriami rusiški (šokoladiniai),,1kg,130.00,,
,Karūna,Saldainiai MIGLĖ,,190g,25.00,,4770100400609
,Vilniaus Pergalė,Saldainiai NOMEDA barberry,,130g,13.00,,4770179156193
,,"Sald.PAUKŠČIŲ PIENAS,van",,160g,32.00,,
,Lisenas,Saldainiai “Paukščių grietinėlė”,,280g,59.00,,4770493186050
,,"Saldainiai PAUKŠČIŲ GRIETINĖLĖ ,vaniliniai",,500g,45.00,,
,,"Saldainiai PAUKŠČIŲ GRIETINĖLĖ, šokoladiniai",,500g,45.00,,
,Karūna,Saldainių dėžutė KARŪNA Asorti,,270g,55.00,,7622210044730
,Karūna,Saldainių dėžutė KARŪNA Asorti,,180g,45.00,,7622210044693
,Rūta,"Dražė LAZDYNAS. Lazdynų riešutai su karameliniu glaistu, padengti traškia plėvele",,250g,69.00,,4770123195872
,Daisena,Baltasis šokoladas “Schogetten”,,100g,12.00,,no barcode
,Daisena,"Baltas šokoladas su lazdynų riešutų traškučiais, riešutine gianduja ir pieniniu šokoladu",,100g,12.00,,4000415143800
,Rūta,Šokoladas “Lietuva”,,42g,25.00,,4770123191058
,Laima,Pieninis šokoladas “Priecigus svetkus” (18gx5),,90g,14.00,,4750001945133
,Pergalė,"Šokoladas “Pergalė”, juodasis su sveikais lazdynu riešutais",,250g,38.00,,
,Pergalė,Šokoladas “Pergalė” pieninis su miško uogų įdaru,,100g,15.00,,4770179125281
,Karūna,Šokoladas “Karūna” juodas,,90g,15.00,,7622210302779
,Karūna,Šokoladas “Karūna” juodasis su aviečių įdaru,,100g,15.00,,
,Karūna,Šokoladas “Karūna” juodasis su sveikais lazdynų riešutais,,100g,15.00,,4770100503515
,Karūna,Šokoladas “Karūna” pieninis,,90g,15.00,,7622210302809
,Karūna,Šokoladas “Karūna” pieninis su sveikais lazdynų riešutais,,100g,15.00,,4770100010129
,Karūna,Šokoladas “Karūna” pieninis su razinomis ir lazdynų riešutais,,90g,15.00,,7622210302830
,Karūna,Šokoladas “Karūna” su vyšnių skonio pieniniu įdaru ir želiniu vyšnių įdaru,,90g,15.00,,7622210359797
,Karūna,Šokoladas “Karūna” pieninis su karamelizuotais sūdytais migdolais,,100g,15.00,,7622300695538
,Karūna,Šooladas “Karūna” akytasis pieninis,,80g,15.00,,7622300715694
,Laima,Šokoladas “Laima” kartusis,,100g,15.00,,4750001943849
,Laima,Šokoladas “Laima” kartusis su skalditais migdolo riešutais,,100g,15.00,,4750001943832
,Laima,Šokoladas “Laima” pieninis su smulkintais lazdynų riešutais,,100g,15.00,,4750001943795
,Laima,Kartūsis šokoladas 90%,Extra dark chocolate 90%,100g,20.00,,4750001946871
,,Šokoladas KARALIŠKAS 70% Cacao,,100g,20.00,,
,Meškėnas,Šokoladas “Tai tau” Classic juodasis,,100g,15.00,,4779021230500
,Meškėnas,Šokoladas “Tai tau” Exclusive Selection juodasis 72%,,100g,15.00,,4779021230630
,Laima,Slyvos ir migdolai šokolade,,180g,34.00,,4750011823445
,Laima,Slyvos šokolade,,180g,29.00,,4750011823452
,Vilniaus Pergalė,Triufelai “Pregalė” originalūs,,200g,35.00,,4770179182826
,Vilniaus Pergalė,Triufelai “Pregalė” su konjaku,,200g,35.00,,4770179182666
,Biržų Duona,Sucre gėlių skoniai,Sucre flowers flavors,60g,39.00,,4770078194043
,Saldus lobis,Griliažo skiltelės,Peanut brittle with a dark cocoa covering,200g,28.00,,4770067177149
,,SALDAINIŲ RINKINIAI/ SALDAINIAI DĖŽUTĖSE,,kg,,,EAN code
,Rūta,Šokoladinių figūrų rinkinys “Tikroms Damoms”,,100g,59.00,,4770123196275
,Rūta,Šokoladinių figūrų rinkinys “Tikriems Vyrams”,,100g,59.00,,?
,Pergalė,Saldainių rinkinys “Lietuva”,,375g,75.00,,4770179116135
,Karūna,Šokoladinių saldainių rinkinys,,270g,55.00,,7622210044730
,Karūna,Šokoladinių saldainių rinkinys “Kauno Asorti”,,186g,59.00,,7622210044310
,Karūna,Šokoladinių saldainių rinkinys “Kauno Asorti”,,381g,79.00,,7622210044334
,Laima,Šokoladinių saldainių asorti,,95g,25.00,,4750001943412
,Laima,Šokoladinių saldainių asorti,,95g,25.00,,4750001946253
,Laima,"Šokoladinių saldainių rinkinys ""Mon Ami""",,245g,,,4750001946239
,Laima,"Šokoladinių saldainių rinkinys ""Vilnius""",,360g,60.00,,4750001008067
,PERGALE,Saldainių rinkinys Pergalė Dream,Assorted sweets Pergalė Dream hot chocolate taste and brandy,174g,,,4770179182833
,PERGALE,"Vanilinio skonio saldainiai ""Paukščių pienas""",,160g,32.00,,4770179120255
,,Saldainių rinkinys su pieninių šokoladu ir viskio įdaru,Assorted sweets with milk chocolate and whisky filling,187g,39.00,,4770179119556
,Vilniaus Pergale,"Triufeliai ""Pergalė"" cognac","Truffles ""Pergale"" cognac",200g,35.00,,4770179182666
,Vilniaus Pergale,"Triufeliai ""Pergalė"" originalūs","Truffles ""Pergale"" original",200g,35.00,,4770179182826
,,KALĖDINIAI SALDAINIŲ RINKINIAI,CHRISTMAS SWEETS BOXES,Kg,,,Ean code
,Naujoji Rūta,"Dovanėlė ""Žibintas""",,250g,39.00,,4770067181535
,Naujoji Rūta,"Dovanėlė ""Kiškutis""",,120g,22.00,,4770067185953
,Naujoji Rūta,"Dovanėlė ""Eglutė""",,50g,12.00,,4770067184383
,Naujoji Rūta,"Dovanėlė ""Rankinė""",,250g,45.00,,4770067187650
,Naujoji Rūta,Saldi dovanėlė,,500g,149.00,,4770067188541
,Rūta,"Saldainių dovanėlė ""Laikrodukas""",,280g,72.00,,4770123197937
,Rūta,"Dovanėlė ""Šventinė dovanėlė""",,230g,49.00,,4770123197890
,Rūta,"Saldainių dovanėlė ""Dėlionė""",,300g,79.00,,4770123196664
,Daisena,"Kalėdinių saldainių rinkinys ""AHA skrynia""",,273g,49.00,,4771632310824
,Daisena,"Kalėdinių saldainių rinkinys ""AHA traukinys""",,236g,69.00,,4771632310763
,Sanitex,Advento kalendorius,,50g,32.00,,8595164301794
,Viktorija ir partneriai,Sausainiai 2016,,155g,10.00,,4770044193766
,Javinė,Kūčiukai,,300g,12.00,,4770049023112
,Biržų Duona,Kūčiukai,,200g,12.00,,4770078192216
,Vilniaus Duona,Kūčiukai,,200g,12.00,,4770163834717
,Laragis kepykla,Kūčiukai,,400g,12.00,,4770592193119
,,ZEFYRAS,,kg,,,EAN code
,,"Zefyrai SONATA,vaniliniai,",,200g,18.00,,
,,Glaistytas zefyrai su šokoladu,,800g,59.00,,4770493186654
,Laima,Vanilės zefyras,,200g,20.00,,4750001002508
,Laima,Grietininis zefyras,,200g,20.00,,4750001002843
,Laima,Mėlynių zefyras,,200g,20.00,,4750011848646
,Laima,“Maigums” vanilės skonio zefyras šokolade,,200g,22.00,,4750001004267
,Laima,“Maigums” zefyras su šokolado glaistu ir kavos įdaru,,200g,22.00,,4750011849162
,Laima,“Maigums” zefyras su šokolado glaistu ir kavos įdaru,,140g,35.00,,4750011849155
,Laima,“Maigums” zefyras su šokolado glaistu ir mėlynių įdaru,,140g,35.00,,4750011849179
,Laima,“Maigums” zefyras pieniniame šokolade su kokoso gabalėliais,,140g,29.00,,4750011849230
,Laima,“Maigums” zefyras pieniniame šokolade su kokoso gabalėliais,,185g,29.00,,4750001000771
,Lisenas,Glaistytas zefyras,,800g,59.00,,4770493186654
,Saldus Lobis,Vanilinis zefyras,Vanilla marshmallow,240g,24.00,,4770067183751
,Saldus Lobis,Rožinis zefyras,Pink marshmallow,240g,24.00,,4770067183775
,,KRAMTOMOJI GUMA/ TIC TAC/ MYNTHON,,kg,,,EAN code
,Orbit,Kramtomoji guma ORBIT Strawberry x10,,14g,8.00,,42070351
,Orbit,Kramtomoji guma DIROL Sweet Mint,,"13,6g",8.00,,?
,Orbit,  ,,14g,8.00,,42070429
,Orbit,Kramtomoji guma ORBIT Bubblemint x10,,14g,8.00,,42247371
,Orbit,Kramtomoji guma ORBIT Spearmint,,14g,8.00,,?
,Orbit,Kramtomoji guma ORBIT Watermelon,,14g,8.00,,?
,Orbit,Kramtomoji guma ORBIT Strong Mint x5 (juostelės),,13g,8.00,,42212140
,Orbit,Kramtomoji guma ORBIT Tropical x12 (juostelės),,31g,12.00,,42247364
,Orbit,Kramtomoji guma ORBIT Professional Mints x30 (maišelis),,30g,12.00,,42211853
,Tic tac,Draže TIC TAC mint,,18g,8.00,,80052043
,Tic tac,Draže TIC TAC orange,,18g,8.00,,80052333
,Tic tac,Draže TIC TAC 100 fresh mint,,49g,15.00,,4008400395029
,Tic tac,Draže TIC TAC mango-guava and mint-guarana,,49g,15.00,,8000500189597
,Tic tac,Draže TIC TAC “Dream of Costa Rica” ananas,,49g,15.00,,8000500172339
,Mynthon,Pastilės MYNTHON Extra Strong,,34g,12.00,,6410600050437
,,MEDUOLAI/ RIESTAINIAI/ SAUSAINIAI/ VAFLIAI/ VAFLINIAI TORTAI,,kg,,,EAN code
,Skanėsis,Meduoliai su karamele,,250g,15.00,,
,Skanėsis,Meduoliai su kondensuotu pienu,,250g,15.00,,
,Skanėsis,Meduoliai pieniniai,,250g,14.00,,
,ADUGS,"Meduoliai,grietininiai",,250g,15.00,,4751000171646
,ADUGS,Meduoliai kaimiški,,250g,15.00,,4751000171714
,Javinė,Meduoliai pieniniai,,250g,14.00,,4770049061558
,JDC,Meduoliai su medum,,250g,14.00,,4779019990423
,JDC,Meduoliai “Kaimiški”,,200g,14.00,,4779019991468
,AR Maistas,Meduoliai su medumi,,250g,14.00,,4779019990423
,JDC,Riestainiai arbatiniai,,280g,15.00,,4779019990360
,Skanėsis,Avižiniai sausainiai su pienu,,180g,14.00,,4779030890641
,Skanėsis,Avižiniai sausainiai su šokolado gabaliukais,,180g,14.00,,4779030890665
,Leelo,Avižiniai sausainiai,,500g,24.00,,4740320001467
,Leelo,Avižiniai sausainiai su razinomis,,500g,24.00,,4740320005939
,Leelo,Avižiniai sausainiai su riešutais,,500g,24.00,,4740320002617
,Vilniaus pergalė,Sausainiai GAIDELIS “Klasika”,,180g,10.00,,4770179162316
,Vilniaus pergalė,Sausainiai GAIDELIS su fruktoze,,180g,10.00,,4770179162729
,Vilniaus pergalė,Sausainiai GAIDELIS si aguonomis,,180g,10.00,,4770179162330
,Laima,Sausainiai SELGA “Classic”,,180g,10.00,,4750007689512
,Laima,Sausainiai SELGA šokolado skonio,,180g,10.00,,4750007689536
,Laima,Sausainiai SELGA airiško kremo skonio,,180g,10.00,,4750007689553
,Laima,Sausainiai SELGA klevų sirupo skonio,,180g,10.00,,4750007848032
,Laima,Sausainiai SELGA su razinomis,,180g,10.00,,4750007848582
,Laima,Sausainiai SELGA su obuolių gabaliukais,,180g,10.00,,4750007848766
,Laima,Sausainiai SELGA sutirštinto pieno skonio,,180g,10.00,,4750007689574
,Laima,Sausainiai SELGA su bananų skoniu,,180g,10.00,,4750007848360
,Pyraginė,"Sausainiai ""Grybukai baravykiukai""",,300g,49.00,,4779039230103
,Pyraginė,"Sausainiai ""Grybukai baravykiukai""",,kg,150/kg,,
,Pyraginė,"Sausainiai ""Sveikuoliai""",,300g,27.00,,
,Pyraginė,"Sausainiai ""Naminiai""",,300g,19.00,,
,Pyraginė,"Sausainiai ""Cukriniai""",,250g,16.00,,
,Pyraginė,"Sausainiai ""Kakaviniai""",,250g,16.00,,
,Pyraginė,"Sausainiai ""Gnaibukai su šokoladu""",,350g,26.00,,
,Pyraginė,"Riestainis ""Baltas"" (supakuotas 1vnt)",,70g,7.00,,
,Pyraginė,"Riestainis ""Kakavinis"" (supakuotas 1vnt)",,70g,7.00,,
,Pyraginė,"Sausainis ""Paplotėlis"" (supakuotas 1vnt)",,70g,7.00,,
,Pyraginė,F,,60g,7.00,,
,Laima,Vafliai SELGA šokolado skonio,,90g,8.00,,4750007817793
,Laima,Vafliai SELGA citrinų skonio,,90g,8.00,,4750007817748
,Laima,Vafliai SELGA lazdynų riešutų skonio,,90g,8.00,,4750007848216
,Laima,Vafliai SELGA vanilės skonio,,90g,8.00,,4750007848575
,Vilniaus duona,Riešutų skonio vafliai Klasika,Nuts taste vafers Classic,90g,8.00,,4770163201632
,,Kokosų skonio vafliai Klasika,Coconut taste vafers Classic,90g,8.00,,4770163201649
,,Šokolado skonio vafliai Klasika,Cjocolate taste vafers Classic,90g,8.00,,4770163201625
,Albava,Lakštiniai vafliai,,200g,16.00,,4771441215044
,Klaipėdos duona,Apvalūs vafliniai lakštai,,90g,15.00,,4770217310525
,,"Biskvito lakštai tortui,vaniliniai, 400 g",,,27.00,,
,,"Biskvito lakštai tortui, šokoladiniai, 400 g",,,27.00,,
,Laima,Vaflinis tortas “Laimongoji karvutė”,,300g,29.00,,4750007897306
,Laima,Vaflinis tortas šokoladinis su šokolado gabaliukais “Trifele”,,350g,39.00,,4750007848223
,Laima,Vaflinis tortas chalvos skonio “Halva”,,300g,35.00,,4750007847967
,Laima,Glaistytas vaflinis tortas “Voverytė”,,250g,27.00,,4750007291036
,Laima,Vaflinis tortas “Selga” (batonėlis) su migdolais,,40g,5.00,,4750007848520
,Laima,Vaflinis tortas “Selga” (batonėlis) su lazdyno riešutais,,40g,5.00,,4750007848513
,,KEKSAI,MUFFINS,Kg,"Price, DKK",,EAN code
,,Mini keksai su braškes įdaru,,150g,12.00,,
,,Mini keksai su šokolado įdaru,,150g,12.00,,
,,Mini keksai su vyšnių įdaru,,150g,12.00,,
,,Mini keksai su aviečių įdaru,,150g,12.00,,
,,Keksai su braškes įdaru,,180g,16.00,,
,,Keksai su šokolado įdaru,,180g,16.00,,
,,Keksai su vyšnių įdaru,,180g,16.00,,
,,Keksai su aviečių įdaru,,180g,16.00,,
,,JAVAINIAI/ DŽIŪVĖSIAI/ TRAPUČIAI/ TRAŠKUČIAI/ DŽIOVINTI VAISIAI,,kg,"Price, DKK",,EAN code
,OHO,Javainiai su braškių skonio įdaru,,150g,18.00,,4770149202950
,OHO,Javainiai su karamelės skonio įdaru,,150g,18.00,,4770149202981
,OHO,Javainiai su šokolado skonio įdaru,,150g,18.00,,4770149202967
,Javinė,Javinukai “Mažesni” aviečių skonio,,150g,15.00,,4770049064269
,Javinė,Javinukai “Mažesni” sutirštinto pieno skonio,,150g,15.00,,4770049064276
,Vilniaus Duona,66,,250g,18.00,,4770163195481
,Vilniaus Duona,Džiūvėsiai pieniniai,,250g,18.00,,4770163195191
,Vilniaus Duona,Džiūvėsiai su aguonomis,,250g,18.00,,4770163195474
,Galinta,Ryžių trapučiai originalūs,,100g,14.00,,4770205122109
,Galinta,Ryžių trapučiai su grikiais,,100g,14.00,,4770205122116
,Ustukių Malūnas,Trapučiai “Speltų”,Spelt cakes,100g,14.00,,4770140195473
,Ustukių Malūnas,Trapučiai “Kviečių”,Wheat cakes,100g,14.00,,4770140195411
,Vilniaus Duona,Traškučiai AGUONĖLĖ,,250g,18.00,,4770163190592
,Vilniaus Duona,Traškučiai AGUONĖLĖ,,300g,20.00,,4770163202523
,,Traškučiai ARBATINIAI,,300g,20.00,,4770163202516
,,Traškučiai VANILINIAI,,300g,20.00,,4770163202509
,Javinė,Traškučiai su kmynais,,150g,11.00,,4770049064436
,,"Traškučiai su glazūra SKANĖSIS,150g",,,16.00,,
