,TAMSIOS RUGINĖS DUONOS ,DARK RYE BREAD,kg,"Price, DKK",EAN code,TYPE
,Mini keksai su aviečių įdaru,,150g,12.00,,
,Keksai su braškes įdaru,,180g,16.00,,
,Keksai su šokolado įdaru,,180g,16.00,,
,Keksai su vyšnių įdaru,,180g,16.00,,
,Keksai su aviečių įdaru,,180g,16.00,,
,JAVAINIAI/ DŽIŪVĖSIAI/ TRAPUČIAI/ TRAŠKUČIAI/ DŽIOVINTI VAISIAI,Cereal / rusks / crackers / chips / DRIED FRUITS,kg,"Price, DKK",EAN code,
OHO,Javainiai su braškių skonio įdaru,Muesli with strawberry filling,150g,18.00,4770149202950,Cereal / rusks / crackers / chips / DRIED FRUITS
OHO,Javainiai su karamelės skonio įdaru,Pillows with caramel filling,150g,18.00,4770149202981,Cereal / rusks / crackers / chips / DRIED FRUITS
OHO,Javainiai su šokolado skonio įdaru,Breakfast cereals with chocolate filling,150g,18.00,4770149202967,Cereal / rusks / crackers / chips / DRIED FRUITS
Javinė,Javinukai “Mažesni” aviečių skonio,"Javinukai ""Smaller"" raspberry flavor",150g,15.00,4770049064269,Cereal / rusks / crackers / chips / DRIED FRUITS
Javinė,Javinukai “Mažesni” sutirštinto pieno skonio,"Javinukai ""Smaller"" condensed milk flavor",150g,15.00,4770049064276,Cereal / rusks / crackers / chips / DRIED FRUITS
Vilniaus Duona,66,66,250g,18.00,4770163195481,Cereal / rusks / crackers / chips / DRIED FRUITS
Vilniaus Duona,Džiūvėsiai pieniniai,rusks milk,250g,18.00,4770163195191,Cereal / rusks / crackers / chips / DRIED FRUITS
Vilniaus Duona,Džiūvėsiai su aguonomis,Rusks with poppy seeds,250g,18.00,4770163195474,Cereal / rusks / crackers / chips / DRIED FRUITS
Galinta,Ryžių trapučiai originalūs,Rice crackers original,100g,14.00,4770205122109,Cereal / rusks / crackers / chips / DRIED FRUITS
Galinta,Ryžių trapučiai su grikiais,Rice crackers with buckwheat,100g,14.00,4770205122116,Cereal / rusks / crackers / chips / DRIED FRUITS
Ustukių Malūnas,Trapučiai “Speltų”,Spelt cakes,100g,14.00,4770140195473,Cereal / rusks / crackers / chips / DRIED FRUITS
Ustukių Malūnas,Trapučiai “Kviečių”,Wheat cakes,100g,14.00,4770140195411,Cereal / rusks / crackers / chips / DRIED FRUITS
Vilniaus Duona,Traškučiai AGUONĖLĖ,chips AGUONĖLĖ,250g,18.00,4770163190592,Cereal / rusks / crackers / chips / DRIED FRUITS
Vilniaus Duona,Traškučiai AGUONĖLĖ,chips AGUONĖLĖ,300g,20.00,4770163202523,Cereal / rusks / crackers / chips / DRIED FRUITS
,Traškučiai ARBATINIAI,"chips ""Tea",300g,20.00,4770163202516,Cereal / rusks / crackers / chips / DRIED FRUITS
,Traškučiai VANILINIAI,chips vanillin,300g,20.00,4770163202509,Cereal / rusks / crackers / chips / DRIED FRUITS
Javinė,Traškučiai su kmynais,Chips with caraway,150g,11.00,4770049064436,Cereal / rusks / crackers / chips / DRIED FRUITS
,"Traškučiai su glazūra SKANĖSIS,150g","Chips with glaze SKANĖSIS, 150g",,16.00,,Cereal / rusks / crackers / chips / DRIED FRUITS
OHO,Traškučiai grietinės skonio su svogūnais,Snacks with sour cream taste and onion,150g,18.00,4770149209850,Cereal / rusks / crackers / chips / DRIED FRUITS
OHO,,Snacks with dill,150g,18.00,4770149209843,Cereal / rusks / crackers / chips / DRIED FRUITS
Arimex,Bananų traškučiai,Banana chips,100g,12.00,4771249812735,Cereal / rusks / crackers / chips / DRIED FRUITS
Morkūnas,Saldūs kukurūzų traškučiai,Sweet corn chips,45g,10.00,4770231191100,Cereal / rusks / crackers / chips / DRIED FRUITS
Morkūnas,Saldūs kukurūzų traškučiai su skr.žem.riešutais,Sweet corn chips with skr.žemės.riešutais,80g,10.00,4770231191124,Cereal / rusks / crackers / chips / DRIED FRUITS
Arimex,Džiovintos spanguolės,Dried cranberries,100г,12.00,4771249817082,Cereal / rusks / crackers / chips / DRIED FRUITS
,ŠAKOTIS/ SKRUZDĖLYNAS,ŠAKOTIS / anthill,kg,,EAN code,
Danutės šakotis,Šakotis (vieneto svoris apie 0.5-1.5 kg),Branched (per unit weight of 0.5-1.5 kg),"~ 0,5-1,5kg",135.00,249696011,ŠAKOTIS / anthill
Romnesa,"Populiarusis šakotis (vieneto svoris apie 0,5- 1 kg)","The popular branch (unit weight of 0,5- 1 kg)","~0,5-1kg",120.00,241561030,ŠAKOTIS / anthill
Litpearl,Šakotis,Tree cake,"~0,5-1,5kg",130.00,,ŠAKOTIS / anthill
Litpearl,Šakotis glaistytas šokoladu,Chocolate covered Tree cake,"~0,5-1,5kg",140.00,,ŠAKOTIS / anthill
Litpearl,Šakotis glaistytas šokoladu su dekoracijomis,Chocolate covered Tree cake with decorations,"~0,5-1,5kg",150.00,,ŠAKOTIS / anthill
Litpearl,Skruzdėlynas,Anthill cake,700g,?,2552054007002,ŠAKOTIS / anthill
,"Skruzdėlynas,fasuotas dėžutėje 200g","Anthill, prepackaged box 200g",,22.00,2593784002004,ŠAKOTIS / anthill
J.Špakauskienės,Skruzdėlynas vnt 500g.,Anthill pieces 500g.,"~ 0,5",120.00,skirtingi barkodai,ŠAKOTIS / anthill
,BISKVITAI,BISCUITS,kg,,EAN code,
Sanitex,Kakavos skonio biskvitai,Cocoa flavored biscuits,400g,38.00,8592794014810,
Sanitex,Vanilės skonio biskvitai,Vanilla flavored biscuits,400g,38.00,8592794014803,
,KEPTA/ DŽIOVINTA/ SKRUDINTA DUONA/ DUONOS LAZDELĖS,FRIED / dried / toast / bread sticks,kg,,EAN code,
Dionizas,Skrudinta duona KAZIUKO (ind.),Toast KAZIUKAS (ind.),130g,13.00,4770763191029,FRIED / dried / toast / bread sticks
Dionizas,Skrudinta duona KAZIUKO (ind.),Toast KAZIUKAS (ind.),300g,29.00,4770763191043,FRIED / dried / toast / bread sticks
,"Skrudinta duona ALUDARIŲ ,DIO","Toast brewer, DIO",90g,8.00,,FRIED / dried / toast / bread sticks
Vilniaus duona,Kepta duona su česnakais,Fried bread with garlic,100g,10.00,,FRIED / dried / toast / bread sticks
Vilniaus duona,Kepta duona su saulėgrąžomis su česnakais Sveriama,Baked bread with sunflower seeds with garlic Weighted,,110.00,no barcode,FRIED / dried / toast / bread sticks
Vilniaus duona,Kepta duona su saulėgrąžomis su česnakais (dežutė),Baked bread with sunflower seeds with garlic (box),"1,5 kg",150.00,no barcode,FRIED / dried / toast / bread sticks
Vilniaus duona,Kepta duona BIČIULIŲ,Fried bread BIČIULIŲ,100g,10.00,4770163201878,FRIED / dried / toast / bread sticks
Biržų duona,Kepta duona,Baked bread,100g,10.00,4770078193602,FRIED / dried / toast / bread sticks
Biržų duona,Džiovintos duonos riekelės “Miltė” ,"Dried bread ""flour""",190g,15.00,4770078193749,FRIED / dried / toast / bread sticks
Biržų duona,Džiovintos duonos riekelės “Miltė” su vaisiais ir riešutais,"Dried bread ""meal"" with fruit and nuts",190g,15.00,4770078194067,FRIED / dried / toast / bread sticks
Duonė,Duonos traškučiai “Memelio” su česnaku,"Bread Crumbs ""Memel"" with garlic",100g,10.00,4779022050114,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” su barbekiu skonio prieskonių mišiniu,"Bread Crumbs ""Bon chance"" with barbecue flavor spice mixture",120g,12.00,4770350142670,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” su juodųjų pipirų ir grietinės skonio prieskonių mišiniu,"Bread Crumbs ""Bon chance"" with black pepper and sour cream flavored spice mixture",120g,12.00,4770350020046,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” su česnakų prieskonių mišiniu,"Bread Crumbs ""Bon chance"" garlic spice mix",120g,12.00,4770350141475,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” su sūrio ir česnakų prieskonių mišiniu,"Bread Crumbs ""Bon chance"" with cheese and garlic seasoning mix",120g,12.00,4770350141505,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” grietinės skonio su svogunų laiškų prieskonių mišiniu,"Bread Crumbs ""Bon chance"" sour taste with onion spice mixture",120g,12.00,4770350142120,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” su Chalapos paprikų prieskonių mišiniu,"Bread Crumbs ""Bon chance"" to Jalapa paprika spice mixture",120g,12.00,4770350141482,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” su saliamo skonio prieskonių mišiniu,"Bread Crumbs ""Bon chance"" with salami flavored spice mixture",120g,12.00,4770350141499,FRIED / dried / toast / bread sticks
Gudobelė,Duonos traškučiai “Bon chance” su svogunų ir grietinės skonio prieskonių mišiniu,"Bread Crumbs ""Bon chance"" with onions and sour cream flavored spice mixture",120g,12.00,4770350141741,FRIED / dried / toast / bread sticks
Biržų duona,Duonos lazdelės GRISSINI su rozmarinais,Bread sticks with rosemary GRISSINI,125g,10.00,4770078193244,FRIED / dried / toast / bread sticks
Biržų duona,Duonos lazdelės GRISSINI su svogūnais,Bread sticks with onion GRISSINI,125g,10.00,4770078193237,FRIED / dried / toast / bread sticks
Biržų duona,Duonos lazdelės GRISSINI su sezamais,Bread sticks with sesame GRISSINI,125g,10.00,4770078193220,FRIED / dried / toast / bread sticks
Biržų duona,Duonos lazdelės GRISSINI su sūriu,Bread sticks with cheese GRISSINI,125g,10.00,4770078193596,FRIED / dried / toast / bread sticks
Biržų duona,Duonos lazdelės GRISSINI su alyvuogių aliejumi,Bread sticks GRISSINI with olive oil,125g,10.00,4770078193251,FRIED / dried / toast / bread sticks
,BULVIŲ TRAŠKUČIAI,POTATO CHIPS,kg,,EAN code,
Estrella,Bulvių traškučiai su krapais,Potato chips with dill,150g,18.00,4779028340172,POTATO CHIPS
Estrella,Bulvių traškučiai kaimiškos grietinės ir svogūnų skonio,Potato chips rustic sour cream and onion flavor,150g,18.00,4779028340134,POTATO CHIPS
Estrella,Bulvių traškučiai švelnaus sūrio skonio,Potato chips mild cheese flavor,140g,18.00,4779028343340,POTATO CHIPS
Estrella,Bulvių traškučiai ant grotelių kepto bekono skonio,Potato chips grilled bacon flavor,140g,18.00,4779028343708,POTATO CHIPS
Estrella,Bulvių traškučiai svogūnėlių ir sūrio skonio,Potato chips and cheese tasting bulbs,150g,18.00,4779028342060,POTATO CHIPS
Estrella,Bulvių traškučiai rūkyto bekono skonio,Potato chips smoked bacon flavor,140g,18.00,4779028343364,POTATO CHIPS
Estrella,Bulvių traškučiai aštraus pomidoro skonio,Potato chips tangy tomato flavor,140g,18.00,4779028343722,POTATO CHIPS
,ŽUVIES UŽKANDA PRIE ALAUS,FISH SNACK FOR BEER,kg,,EAN code,
SIA VEGA,Kalmaro žiedai BEER CLUB Classic,SQUID. Squid rings BEER CLUB Classic,43g,20.00,4751013350069,FISH SNACK FOR BEER
SIA VEGA,Vytintas kalmaras BEER CLUB Classic,STAVRIDA. Dried yellow striped fish,43g,20.00,4751013350069,FISH SNACK FOR BEER
SIA VEGA,Vytintos stauridos BEER CLUB Classic,PUTASU. Dried blue whiting,36g,10.00,4751013350106,FISH SNACK FOR BEER
SIA VEGA,Šiauriniai merlangai BEER CLUB Classic,ANCHOVY Fish'ka,36g,10.00,4751013350076,FISH SNACK FOR BEER
SIA VEGA,Vytintas ančiuvis Fisk'ka,STAVRIDA. Dried yellow striped fish Fish'ka,20g,10.00,4751013350090,FISH SNACK FOR BEER
SIA VEGA,Vytintos staurindos Fish'ka,PUTASU. Dried blue whiting Fish'ka,20g,10.00,4751013350014,FISH SNACK FOR BEER
SIA VEGA,Šiauriniai merlangai Fish'ka,Northern whiting Fishkin,20g,10.00,4751013350083,FISH SNACK FOR BEER
Rusnės žuvis,Vytinta paprastoji stintenė (neišdarinėta),Dried Capelin (whole),150-300g,110.00,251473200,FISH SNACK FOR BEER
Rusnės žuvis,Vytinta paprastoji kuoja (neišdarinėta),Dried ordinary roach (whole),200-600g,110.00,251473000,FISH SNACK FOR BEER
MSDM,Pjaustyti sūdyti ir vytinti kalmarai,Dried squid shredded,36g,20.00,4260147170158,FISH SNACK FOR BEER
MSDM,Pikantiški sūdyti ir vytinti kalmarai,Dried squid shredded with chilli,36g,20.00,4260147170349,FISH SNACK FOR BEER
MSDM,Parūkyti kalmarai Jerky sūdyti,Smoked squid jerky,36g,20.00,4260147170509,FISH SNACK FOR BEER
MSDM,Sūdytos ir vytintos Indijos vandenyno stintos,Brushtooth lizardfish,36g,20.00,4260147170134,FISH SNACK FOR BEER
MSDM,Pikantiški sūdytų ir vytintų mankių grižinėliai,Pacific Cod with chilli,36g,20.00,4260147170288,FISH SNACK FOR BEER
MSDM,Sūdytos ir vytintos stauridės,Yellow striped trevally,36g,20.00,4260147170028,FISH SNACK FOR BEER
,KUKURŪZŲ LAZDELĖS,CORN STICKS,kg,,EAN code,
Aga,"Saldžios, pūstos, glaistytos kukurūzų lazdelės CHRUSTIK","Sweet, popcorn, corn sticks daubed CHRUSTIK",130g,12.00,4770683114016,CORN STICKS
Naujasis Nevėžis,Saldžios kukurūzų lazdelės OHO,Sweet corn sticks OHO,285g,17.00,4770149207887,CORN STICKS
Naujasis Nevėžis,Kukurūzų lazdelės OHO,Corn sticks OHO,210g,17.00,4770149207870,CORN STICKS
Naujasis Nevėžis,Saldžios kukurūzų lazdelės OHO su cukrumi,Sweet corn sticks OHO with sugar,110g,12.00,4770149203179,CORN STICKS
Naujasis Nevėžis,Saldžios kukurūzų lazdelės OHO braškių skonio,Sweet corn sticks OHO strawberry,110g,12.00,4770149203186,CORN STICKS
Naujasis Nevėžis,Saldžios kukurūzų lazdelės OHO su sutirštintu pienu,Sweet corn sticks OHO with condensed milk,110g,12.00,4770149203193,CORN STICKS
Setrida,Kukurūzų lazdelės POKO saldžios,POKO sweet corn sticks,130g,6.00,4770732194464,CORN STICKS
Setrida,Kukurūzų lazdelės karamelėje POKO,Corn sticks caramel POKO,100g,12.00,4770732196246,CORN STICKS
Morkūnas,Kukurūzų lazdelės,Corn sticks,210g,15.00,4770231191155,CORN STICKS
Morkūnas,Kukurūzų lazdelės cukruje ,Corn sugar sticks,70g,6.00,4770231191018,CORN STICKS
Morkūnas,Kukurūzų lazdelės cukruje ,Corn sugar sticks,285g,17.00,4770231191162,CORN STICKS
Morkūnas,Saldūs pūsti ryžiai,Sweet puffed rice,27g,10.00,4770231191131,CORN STICKS
Javinė,Kukurūzų žiedeliai,Corn rings,100g,11.00,4770049085103,CORN STICKS
Javinė,Ryžių žiedeliai,Rice rings,100g,11.00,4770049064023,CORN STICKS
,KUKURŪZŲ SPRAGĖSIAI,Popcorn,kg,,EAN code,
Estrella,Kukurūzų spragėsiai sviesto skonio (spraginimui mikrobangų krosnelėje),Popcorn butter flavor (popping in a microwave oven),90g,12.00,7310532160442,Popcorn
Estrella,Kukurūzų spragėsiai saldūs (spraginimui mikrobangų krosnelėje),Popcorn sweet (popping in a microwave oven),90g,12.00,4779028343166,Popcorn
,SAULĖGRĄŽŲ SĖKLOS,SUNFLOWER SEEDS,kg,,EAN code,
Granex,Saulėgrąžų sėklos Y.E.S. Kepintos,Sunflower seeds Y.E.S. roasted,150g,15.00,4770266129598,SUNFLOWER SEEDS
Granex,"Saulėgrąžų sėklos Y.E.S. Juodos, kepintos","Sunflower seeds Y.E.S. Black, toasted",150g,15.00,4770266129604,SUNFLOWER SEEDS
Granex,"Saulėgrąžų sėklos Y.E.S. Kepintos, citrinos skonio",Sunflower seeds Y.E.S. Roasted lemon flavor,150g,15.00,4770266129574,SUNFLOWER SEEDS
Granex,"Saulėgrąžų sėklos Y.E.S. Kepintos, su druska","Sunflower seeds Y.E.S. Toasted, with salt",150g,15.00,4770266129611,SUNFLOWER SEEDS
Granex,"Saulėgrąžų sėklos Y.E.S. Kepintos, čili skonio",Sunflower seeds Y.E.S. Roasted chili flavor,,15.00,,SUNFLOWER SEEDS
,RIEŠUTAI/ TRAŠKUČIAI,NUTS / Chips,kg,,EAN code,
Zm food,Žemės riešutai “Jėga” su paprika,"Peanuts ""Stronger"" with paprika",70g,8.00,4771173208024,NUTS / Chips
Zm food,Žemės riešutai “Jėga” su svogūnais,"Peanuts ""Stronger"" with onions",70g,8.00,4771173208079,NUTS / Chips
Zm food,Žemės riešutai “Jėga” berbekiu skonio,"Peanuts ""Strength"" berbekiu taste",70g,8.00,4771173208208,NUTS / Chips
Zm food,Žemės riešutai “Jėga” su čili pipirais,"Peanuts ""Stronger"" with chili pepper",70g,8.00,4771173208215,NUTS / Chips
Javinė,Traškučiai “JAVI SNACKS” aitriųjų paprikų skonio,"Chips ""JAVI SNACKS"" chili flavor",90g,10.00,4770049061220,NUTS / Chips
javinė,Traškučiai “JAVI SNACKS” sūrio skonio,"Chips ""JAVI SNACKS cheese flavor",90g,10.00,4770049061336,NUTS / Chips
Javinė,Traškučiai “JAVI SNACKS” gritinės ir svogūnų skonio,"Chips ""JAVI SNACKS"" gritins and onion flavor",90g,10.00,4770049061084,NUTS / Chips
Daisena,Skrudinti ir sūdyti žemės riešutai,Roasted and salted peanuts,80g,10.00,4771632084282,NUTS / Chips
,ARBATA/ KAVA/ KAVOS GĖRIMAI/ KAKAVA/ SOJŲ GĖRIMAS,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK,kg,,EAN code,
Švenčionių vaistažolės,ETNO kmynų arbata,ETNO cumin tea,50g,15.00,4771645218643,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Švenčionių vaistažolės,ETNO liepžiedžių arbata,ETNO linden tea,15g,15.00,4771645218674,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Švenčionių vaistažolės,"ETNO erškėtuogių, kmynų ir melisų arbata","ETNO rosehip, cumin and lemon balm tea",15g,15.00,4771645218704,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Švenčionių vaistažolės,ETNO žolelių arbata “Aksominis Vakaras” su pipirmečių ir aviečių lapais ir ramunėlių žiedais,"ETNO herbal tea ""Golden Evening"" with Peppermint and raspberry leaves and chamomile flowers",33g,27.00,4771645121967,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Švenčionių vaistažolės,"ETNO žolelių arbata “Šiltas Prisiminimas” su ramunėlių žiedais, pipirmečių lapais ir čiobrelių žole","ETNO herbal tea ""Warm Recollection"" with chamomile flowers, peppermint leaves and thyme grass",33g,27.00,4771645121950,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Švenčionių vaistažolės,"ETNO vais. arbata “Vaisinis Malonumas” su kinrožėm, erškėčiais, pipiraispais ir miško uogom","ETNO parents. Tea Fruit Pleasure ""with hibiscus, thorns, pipiraispais and forest berries",44g,27.00,4771645122667,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Švenčionių vaistažolės,ETNO šaltalankių arbata “Gamtos Gurkšnis” su erškėčių vaisiais,"ETNO buckthorn tea Taste of Nature ""with thorns fruits",30g,12.00,4771645217929,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Kavinuko prekyba,Žalioji arbata su ženšeniu ir citrina ,Green tea with ginseng and lemon,250g,95.00,4770283336603,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Acorus Calamus,Arbatos rinkinys ŽOLYNĖLIS,Grass Tea Set,110g,90.00,4770161094823,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Acorus Calamus,Žolelių arbata. Čiobrelių žolė,Herb tea. thyme herb,50g,23.00,4770161094724,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Batik,tradicinė Ceilono arbata,Traditional Ceylon tea,100g,18.00,4004986004003,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Jacobs,Kava “Jacobs” Kronung (malta),Coffee Jacobs Kronung (minced),250g,49.00,5901480000724,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Jacobs,Kava “Jacobs” Kronung espesso (malta),Coffee Jacobs Kronung espesso (minced),250g,49.00,7622300472528,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Jacobs,Kava “Jacobs” Aroma (malta),Coffee Jacobs Aroma (minced),250g,49.00,5901480001332,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Jacobs,Kava “Jacobs” Cronat Gold (malta),Coffee Jacobs Cronat Gold (minced),250g,49.00,5901480002452,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Jacobs,Kava “Jacobs” Cronat Gold (malta),Coffee Jacobs Cronat Gold (minced),500g,95.00,5901480002445,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Tchibo,Tirpi kava “Tchibo” Gold Selection,Instant coffee Tchibo Gold Selection,100g,45.00,,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Maxwell House,Tirpi kava “Maxwell House” ,Instant Coffee Maxwell House,250g,49.00,5901480001370,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Grana,Tirpioji kava “Inka”,"Instant coffee, ""Inka""",150g,15.00,5901154040018,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Grana,Tirpioji kava “Inka fe” Golden lion,"Instant coffee, ""Inka fe Golden Lion",150g,15.00,3800020030035,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Gerovė,Gilių kava,acorn coffee,100g,42.00,4770123194561,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Klingai,Kakavos milteliai,Cocoa powder,80g,15.00,4770855211192,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Kornita,Tirpusis sojų gėrimas,Instant soy drink,350g,30.00,8595054900069,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
Kornita,Tirpus sojų grietinėlės skonio gėrimas,Soluble soy cream flavored drink,150g,15.00,8595054900076,TEA / COFFEE / COFFEE DRINKS / Cocoa / SOYA DRINK
,MEDUS/ RIEŠUTŲ SVIESTAS,HONEY / peanut butter,kg,,EAN code,
Šerkšno medus,“Šerkšno medus” su juodaisiais serbentais,"Frost honey with blackcurrant
Frost honey"" with cranberries",200g,70.00,4779031640276,HONEY / peanut butter
Šerkšno medus,“Šerkšno medus” su spanguolėmis,"Frost Honey with blueberries
Frost honey with pitch",200g,70.00,4779031640245,HONEY / peanut butter
Šerkšno medus,“Šerkšno medus” su mėlynėmis,Honey tasting product,200g,70.00,4779031640269,HONEY / peanut butter
Šerkšno medus,“Šerkšno medus” su pikiu,linden honey,200g,70.00,4779031640191,HONEY / peanut butter
Bajoriškių,Medaus skonio gaminys,Various flower blossom honey,650g,24.00,4770211222237,HONEY / peanut butter
Vinnis,Liepžiedžių medus,Various flower blossom honey,500g,75.00,4750241111336,HONEY / peanut butter
Vinnis,Įvairių gėlių žiedų medus,Buckwheat blossom honey,500g,75.00,4750241111237,HONEY / peanut butter
Vinnis,Įvairių gėlių žiedų medus,honey,300g,35.00,4750241111220,HONEY / peanut butter
Vinnis,Grikių žiedų medus,Lithuanian honey,300g,35.00,4750241111725,HONEY / peanut butter
Korio,Medus,Peanut Butter,1 kg,75.00,4779028060216,HONEY / peanut butter
IMLITEX,Lietuviškas medus,Lithuanian honey,700g,59.00,4771323251009,HONEY / peanut butter
Rūta,Žemės riešutų sviestas,,350g,36.00,4770123196206,HONEY / peanut butter
,SUTIRŠTINTAS PIENAS,CONDENSED MILK,kg,,EAN code,
Rokiškio,Sutirštintas pienas (saldintas),Condensed milk (sweetened),397g,vistien,4770245049046,CONDENSED MILK
Marijam. Pieno Grupė,"Sutirštintas karamelizuotas, saldintas pienas “Rududu”",Caramelized condensed sweetened milk RuDuDu,397g,22.00,4770209044070,CONDENSED MILK
Marijam. Pieno Grupė,Sutirštintas sterilizuotas pienas (nesaldintas),Condensed sterilized milk (unsweetened),320g,14.00,4770209042038,CONDENSED MILK
Marijam. Pieno Grupė,Sutirštintas pienas su kakava (saldintas),Condensed milk with cocoa (sweetened),385g,24.00,4770209042205,CONDENSED MILK
Marijam. Pieno Grupė,Sutirštintas pienas su kava (saldintas),Condensed milk with coffee (sweetened),385g,25.00,4770209042199,CONDENSED MILK
Provincijos,Sutirštintas pienas (saldintas),Condensed milk (sweetened),397g,17.00,4771459333471,CONDENSED MILK
Ž. Marčiausko,Karamelizuotas sutirštintas pienas,Caramelized condensed milk,397g,17.00,4771173209458,CONDENSED MILK
,UOGIENĖ/ DŽEMAS,JAM,kg,,EAN code,
Gerovė,Spanguolių džemas,cranberry jam,540g,35.00,4770321348155,JAM
Kėdainių kons fabr,Bruknių džemas,lingonberry jam,540g,30.00,4770583207245,JAM
Kėdainių kons fabr,Braškių džemas,Strawberry jam,540g,30.00,4770583207252,JAM
Kėdainių kons fabr,Mėlynių džemas,blueberry jam,540g,30.00,4770583207269,JAM
Kėdainių kons fabr,Spanguolių džemas,cranberry jam,540g,30.00,4770583207399,JAM
Kėdainių kons fabr,Vyšnių džemas,cherry jam,540g,30.00,4770583207511,JAM
Kėdainių kons fabr,Aviečių džemas,Raspberry jam,540g,30.00,4770583207429,JAM
Kėdainių kons fabr,Uogienė juodųjų serbentų,Jam blackcurrant,430g,26.00,4770583215172,JAM
Kėdainių kons fabr,Uogienė braškių,strawberry jam,430g,26.00,4770583215295,JAM
Kėdainių kons fabr,Uogienė aviečių,raspberry jam,430g,26.00,4770583215196,JAM
Kėdainių kons fabr,Uogienė vyšnių,jam cherry,430g,26.00,4770583215288,JAM
Kėdainių kons fabr,Uogienė mėlynių,Blueberry jam,430g,26.00,4770583215189,JAM
Kėdainių kons fabr,Uogienė bruknių,lingonberry jam,430g,26.00,4770583215301,JAM
Kėdainių kons fabr,Uogienė aviečių su mėtomis,Raspberry jam with mint,430g,26.00,4770583215905,JAM
Kėdainių kons fabr,Spanguolės trintos su cukrumi,Cranberries mashed with sugar,420g,26.00,4770583216834,JAM
Kėdainių kons fabr,Juodieji serbentai trinti su cukrumi,Black currants with sugar rub,420g,26.00,4770583216810,JAM
Kėdainių kons fabr,Juodieji serbentai trinti su cukrumi,Black currants with sugar rub,540g,30.00,4770583207290,JAM
Kėdainių kons fabr,Obuoliai trinti su cukrumi,Apples rub with sugar,480g,28.00,4770583207467,JAM
,VAIKIŠKOS KOŠYTĖS,MASHED FOR CHILDREN,kg,,EAN code,
Biogami,Ekologiškos ryžių kruopytės “Mamuko košė” (nuo 4 mėnesių),"Зелени ориз kruopytės ""Mamuka каша (4 месеца)",240gr,35.00,4779032700214,MASHED FOR CHILDREN
Biogami,Ekologiškos šviežių grikių kruoytės “Mamuko košė” (nuo 4 mėmesių),"Органични пресни елда kruoytės ""Mamuka каша (4 меми)",240gr,35.00,4779032700191,MASHED FOR CHILDREN
Biogami,Ekologiškos grikių kruopytės “Mamuko košė” (nuo 6 mėnesių),"Органични елда kruopytės ""Mamuka каша (от 6 месеца)",240gr,35.00,4779032700108,MASHED FOR CHILDREN
Biogami,"Ekologiški avižių, šviežių grikių ir miežių traiškyti grūdai “Mamuko košė” (mažiems ir dideliems)","Органични овес, ечемик и елда пресни натрошени зърна ""Mamuka овесена каша (малки и големи)",240gr,35.00,4779032700276,MASHED FOR CHILDREN
Biogami,"Ekologiški avižių, šviežių grikių, miežių, spelta kviečių ir rugių traiškyti grūdai “Mamuko košė”","Органични овес, прясно елда, ечемик, пшеница спелта и ръжени зърна смаже ""Mamuka каша""",240gr,35.00,4779032700283,MASHED FOR CHILDREN
